ID,Category,Status,category_encoded,status_encoded,density_score,category_frequency,is_pending,Latitude,Longitude,priority_label
1,Pothole,Completed,1,1,0.21416932269865444,422,0,23.26089342830602,77.40941114468241,0
2,Pothole,Pending,1,2,0.41542613437479453,422,1,23.259623471397656,77.4114012499541,2
3,Water Supply,Pending,4,2,0.22872710089036444,158,1,23.2611953770762,77.41261048739943,2
4,Waste,Pending,3,2,0.2558398490619557,478,1,23.262946059712817,77.41269396118753,1
5,Drainage,Pending,0,2,0.2975810516417777,223,1,23.25943169325055,77.41169986905705,2
6,Pothole,Pending,1,2,0.22490492595992415,422,1,23.2594317260861,77.4138456998647,2
7,Pothole,Completed,1,1,0.11832326362093006,422,0,23.263058425631012,77.41046475914123,0
8,Pothole,Pending,1,2,0.4736843561713146,422,1,23.261434869458306,77.41231524102996,2
9,Streetlight,Pending,2,2,0.5678808950677452,319,1,23.258961051228127,77.41284059126342,1
10,Pothole,Completed,1,1,0.2761030265658714,422,0,23.26098512008717,77.41362887766812,1
11,Waste,Pending,3,2,0.23517577642051168,478,1,23.258973164614375,77.41402322975618,1
12,Waste,Cancelled,3,0,0.2213956164321728,478,0,23.25896854049286,77.41035071581632,0
13,Waste,Completed,3,1,0.14886407961379625,478,0,23.26038392454313,77.40953177165852,0
14,Water Supply,Completed,4,1,0.09651889540235847,158,0,23.256073439510683,77.4151553536438,1
15,Water Supply,Pending,4,2,0.1620182710451983,158,1,23.25645016433497,77.41326462802395,2
16,Pothole,Completed,1,1,0.20559990492551095,422,0,23.258775424941515,77.41110302692688,1
17,Streetlight,Completed,2,1,0.11083225364326556,319,0,23.25787433775933,77.41570230395104,0
18,Pothole,Completed,1,1,0.3436772529273192,422,0,23.260528494665188,77.41283134926859,1
19,Streetlight,Pending,2,2,0.11312331516945517,319,1,23.258083951848956,77.41495859436813,1
20,Drainage,Completed,0,1,0.21291181021011915,223,0,23.25707539259733,77.41273503696281,0
21,Water Supply,Completed,4,1,0.052256522587062544,158,0,23.26283129753784,77.41672149584976,1
22,Pothole,Completed,1,1,0.21858466937107338,422,0,23.259448447399024,77.41611068168488,0
23,Drainage,Completed,0,1,0.5055704177046957,223,0,23.260035056409375,77.41210207170305,1
24,Waste,Pending,3,2,0.1193607732202157,478,1,23.25705050362757,77.4145431419019,1
25,Water Supply,Completed,4,1,0.32868639340357536,158,0,23.258811234550947,77.41389075189917,1
26,Waste,Pending,3,2,0.17560641752042327,478,1,23.26012184517942,77.41533726311506,1
27,Streetlight,Completed,2,1,0.17049447024134812,319,0,23.25759801284515,77.41067015307884,0
28,Streetlight,Pending,2,2,0.5201385295030018,319,1,23.26065139603669,77.41397210292,1
29,Streetlight,Completed,2,1,0.42099719707476924,319,0,23.25869872262016,77.4147168489737,0
30,Waste,Pending,3,2,0.14173889228314143,478,1,23.259316612500413,77.40908252102714,1
31,Water Supply,Completed,4,1,0.2904438706334164,158,0,23.25869658677554,77.41023348297466,1
32,Waste,Pending,3,2,0.07184032439858472,478,1,23.263604556369017,77.40852153564448,1
33,Streetlight,Completed,2,1,0.3900476226629059,319,0,23.25987300555052,77.41206118633112,0
34,Waste,Completed,3,1,0.1943856578594631,478,0,23.25778457814209,77.4140350845116,0
35,Pothole,Pending,1,2,0.12978897454340096,422,1,23.261545089824203,77.41560471410419,1
36,Pothole,Pending,1,2,0.2589585984248135,422,1,23.257458312700056,77.41274818956084,2
37,Pothole,Pending,1,2,0.2042594381298239,422,1,23.260317727190007,77.41585723109114,1
38,Waste,Completed,3,1,0.059898824255194,478,0,23.25598065975224,77.40983979708356,0
39,Waste,Pending,3,2,0.08798564340703201,478,1,23.2572436279022,77.4091932351213,1
