ID,Latitude,Longitude,Category,Status,priority_level,cluster_id,risk_level
1,23.26089342830602,77.40941114468241,Pothole,Completed,LOW,0,LOW
2,23.259623471397656,77.4114012499541,Pothole,Pending,HIGH,0,LOW
3,23.2611953770762,77.41261048739943,Water Supply,Pending,HIGH,0,LOW
4,23.262946059712817,77.41269396118753,Waste,Pending,MEDIUM,0,LOW
5,23.25943169325055,77.41169986905705,Drainage,Pending,HIGH,0,LOW
6,23.2594317260861,77.4138456998647,Pothole,Pending,HIGH,0,LOW
7,23.263058425631012,77.41046475914123,Pothole,Completed,LOW,0,LOW
8,23.261434869458306,77.41231524102996,Pothole,Pending,HIGH,0,LOW
9,23.258961051228127,77.41284059126342,Streetlight,Pending,MEDIUM,0,LOW
10,23.26098512008717,77.41362887766812,Pothole,Completed,MEDIUM,0,LOW
11,23.258973164614375,77.41402322975618,Waste,Pending,HIGH,0,LOW
12,23.25896854049286,77.41035071581632,Waste,Cancelled,LOW,0,LOW
13,23.26038392454313,77.40953177165852,Waste,Completed,LOW,0,LOW
14,23.256073439510683,77.4151553536438,Water Supply,Completed,MEDIUM,0,LOW
15,23.25645016433497,77.41326462802395,Water Supply,Pending,HIGH,0,LOW
16,23.258775424941515,77.41110302692688,Pothole,Completed,MEDIUM,0,LOW
17,23.25787433775933,77.41570230395104,Streetlight,Completed,LOW,0,LOW
18,23.260528494665188,77.41283134926859,Pothole,Completed,MEDIUM,0,LOW
19,23.258083951848956,77.41495859436813,Streetlight,Pending,MEDIUM,0,LOW
20,23.25707539259733,77.41273503696281,Drainage,Completed,LOW,0,LOW
21,23.26283129753784,77.41672149584976,Water Supply,Completed,MEDIUM,0,LOW
22,23.259448447399024,77.41611068168488,Pothole,Completed,LOW,0,LOW
23,23.260035056409375,77.41210207170305,Drainage,Completed,MEDIUM,0,LOW
24,23.25705050362757,77.4145431419019,Waste,Pending,MEDIUM,0,LOW
25,23.258811234550947,77.41389075189917,Water Supply,Completed,MEDIUM,0,LOW
26,23.26012184517942,77.41533726311506,Waste,Pending,MEDIUM,0,LOW
27,23.25759801284515,77.41067015307884,Streetlight,Completed,LOW,0,LOW
28,23.26065139603669,77.41397210292,Streetlight,Pending,MEDIUM,0,LOW
29,23.25869872262016,77.4147168489737,Streetlight,Completed,LOW,0,LOW
30,23.259316612500413,77.40908252102714,Waste,Pending,LOW,0,LOW
31,23.25869658677554,77.41023348297466,Water Supply,Completed,MEDIUM,0,LOW
32,23.263604556369017,77.40852153564448,Waste,Pending,MEDIUM,0,LOW
33,23.25987300555052,77.41206118633112,Streetlight,Completed,LOW,0,LOW
34,23.25778457814209,77.4140350845116,Waste,Completed,LOW,0,LOW
35,23.261545089824203,77.41560471410419,Pothole,Pending,MEDIUM,0,LOW
36,23.257458312700056,77.41274818956084,Pothole,Pending,HIGH,0,LOW
37,23.260317727190007,77.41585723109114,Pothole,Pending,MEDIUM,0,LOW
38,23.25598065975224,77.40983979708356,Waste,Completed,LOW,0,LOW
39,23.2572436279022,77.4091932351213,Waste,Pending,MEDIUM,0,LOW
40,23.260293722471737,77.4124889046022,Pothole,Completed,MEDIUM,0,LOW
41,23.26137693315999,77.41336813089788,Drainage,Pending,HIGH,0,LOW
42,23.26024273656238,77.41253461050381,Drainage,Completed,MEDIUM,0,LOW
43,23.25966870343522,77.40846511579991,Waste,Completed,LOW,0,LOW
44,23.25929779260882,77.41242175992097,Pothole,Completed,MEDIUM,0,LOW
45,23.256942956019262,77.40999106099899,Waste,Completed,LOW,0,LOW
46,23.25846031158321,77.41393934509766,Waste,Pending,MEDIUM,0,LOW
47,23.25897872245808,77.41333319649219,Streetlight,Pending,MEDIUM,0,LOW
