ID,Category,Status,Latitude,Longitude,priority_label,priority_level,risk_score
1,Pothole,Completed,23.26089342830602,77.40941114468241,0,LOW,0.3333333333333333
2,Pothole,Pending,23.259623471397656,77.4114012499541,2,HIGH,1.0
3,Water Supply,Pending,23.2611953770762,77.41261048739943,2,HIGH,1.0
4,Waste,Pending,23.262946059712817,77.41269396118753,1,MEDIUM,0.6666666666666666
5,Drainage,Pending,23.25943169325055,77.41169986905705,2,HIGH,1.0
6,Pothole,Pending,23.2594317260861,77.4138456998647,2,HIGH,1.0
7,Pothole,Completed,23.263058425631012,77.41046475914123,0,LOW,0.3333333333333333
8,Pothole,Pending,23.261434869458306,77.41231524102996,2,HIGH,1.0
9,Streetlight,Pending,23.258961051228127,77.41284059126342,1,MEDIUM,0.6666666666666666
10,Pothole,Completed,23.26098512008717,77.41362887766812,1,MEDIUM,0.6666666666666666
11,Waste,Pending,23.258973164614375,77.41402322975618,1,MEDIUM,0.6666666666666666
12,Waste,Cancelled,23.25896854049286,77.41035071581632,0,LOW,0.3333333333333333
13,Waste,Completed,23.26038392454313,77.40953177165852,0,LOW,0.3333333333333333
14,Water Supply,Completed,23.256073439510683,77.4151553536438,1,MEDIUM,0.6666666666666666
15,Water Supply,Pending,23.25645016433497,77.41326462802395,2,HIGH,1.0
16,Pothole,Completed,23.258775424941515,77.41110302692688,1,MEDIUM,0.6666666666666666
17,Streetlight,Completed,23.25787433775933,77.41570230395104,0,LOW,0.3333333333333333
18,Pothole,Completed,23.260528494665188,77.41283134926859,1,MEDIUM,0.6666666666666666
19,Streetlight,Pending,23.258083951848956,77.41495859436813,1,MEDIUM,0.6666666666666666
20,Drainage,Completed,23.25707539259733,77.41273503696281,0,LOW,0.3333333333333333
21,Water Supply,Completed,23.26283129753784,77.41672149584976,1,MEDIUM,0.6666666666666666
22,Pothole,Completed,23.259448447399024,77.41611068168488,0,LOW,0.3333333333333333
23,Drainage,Completed,23.260035056409375,77.41210207170305,1,MEDIUM,0.6666666666666666
24,Waste,Pending,23.25705050362757,77.4145431419019,1,MEDIUM,0.6666666666666666
25,Water Supply,Completed,23.258811234550947,77.41389075189917,1,MEDIUM,0.6666666666666666
26,Waste,Pending,23.26012184517942,77.41533726311506,1,MEDIUM,0.6666666666666666
27,Streetlight,Completed,23.25759801284515,77.41067015307884,0,LOW,0.3333333333333333
28,Streetlight,Pending,23.26065139603669,77.41397210292,1,MEDIUM,0.6666666666666666
29,Streetlight,Completed,23.25869872262016,77.4147168489737,0,LOW,0.3333333333333333
30,Waste,Pending,23.259316612500413,77.40908252102714,1,MEDIUM,0.6666666666666666
31,Water Supply,Completed,23.25869658677554,77.41023348297466,1,MEDIUM,0.6666666666666666
32,Waste,Pending,23.263604556369017,77.40852153564448,1,MEDIUM,0.6666666666666666
33,Streetlight,Completed,23.25987300555052,77.41206118633112,0,LOW,0.3333333333333333
34,Waste,Completed,23.25778457814209,77.4140350845116,0,LOW,0.3333333333333333
35,Pothole,Pending,23.261545089824203,77.41560471410419,1,MEDIUM,0.6666666666666666
36,Pothole,Pending,23.257458312700056,77.41274818956084,2,HIGH,1.0
37,Pothole,Pending,23.260317727190007,77.41585723109114,1,MEDIUM,0.6666666666666666
38,Waste,Completed,23.25598065975224,77.40983979708356,0,LOW,0.3333333333333333
39,Waste,Pending,23.2572436279022,77.4091932351213,1,MEDIUM,0.6666666666666666
40,Pothole,Completed,23.260293722471737,77.4124889046022,1,MEDIUM,0.6666666666666666
41,Drainage,Pending,23.26137693315999,77.41336813089788,2,HIGH,1.0
42,Drainage,Completed,23.26024273656238,77.41253461050381,1,MEDIUM,0.6666666666666666
