ID,Category,Status,Latitude,Longitude
1,Pothole,Completed,23.26089342830602,77.40941114468241
2,Pothole,Pending,23.259623471397656,77.4114012499541
3,Water Supply,Pending,23.2611953770762,77.41261048739943
4,Waste,Pending,23.262946059712814,77.41269396118753
5,Drainage,Pending,23.25943169325055,77.41169986905705
6,Pothole,Pending,23.2594317260861,77.4138456998647
7,Pothole,Completed,23.263058425631012,77.41046475914123
8,Pothole,Pending,23.261434869458306,77.41231524102996
9,Streetlight,Pending,23.258961051228127,77.41284059126342
10,Pothole,Completed,23.26098512008717,77.41362887766812
11,Waste,Pending,23.258973164614375,77.41402322975618
12,Waste,Cancelled,23.25896854049286,77.41035071581632
13,Waste,Completed,23.26038392454313,77.40953177165852
14,Water Supply,Completed,23.256073439510683,77.4151553536438
15,Water Supply,Pending,23.25645016433497,77.41326462802395
16,Pothole,Completed,23.258775424941515,77.41110302692688
17,Streetlight,Completed,23.25787433775933,77.41570230395104
18,Pothole,Completed,23.260528494665188,77.41283134926859
19,Streetlight,Pending,23.258083951848956,77.41495859436813
20,Drainage,Completed,23.25707539259733,77.41273503696281
21,Water Supply,Completed,23.26283129753784,77.41672149584976
22,Pothole,Completed,23.259448447399024,77.41611068168488
23,Drainage,Completed,23.260035056409375,77.41210207170305
24,Waste,Pending,23.25705050362757,77.4145431419019
25,Water Supply,Completed,23.258811234550947,77.41389075189917
26,Waste,Pending,23.26012184517942,77.41533726311506
27,Streetlight,Completed,23.257598012845154,77.41067015307884
28,Streetlight,Pending,23.26065139603669,77.41397210292
29,Streetlight,Completed,23.25869872262016,77.4147168489737
30,Waste,Pending,23.259316612500413,77.40908252102714
31,Water Supply,Completed,23.25869658677554,77.41023348297466
32,Waste,Pending,23.263604556369017,77.40852153564448
33,Streetlight,Completed,23.25987300555052,77.41206118633112
34,Waste,Completed,23.257784578142086,77.4140350845116
35,Pothole,Pending,23.261545089824203,77.41560471410419
36,Pothole,Pending,23.257458312700056,77.41274818956084
37,Pothole,Pending,23.260317727190007,77.41585723109114
38,Waste,Completed,23.25598065975224,77.40983979708356
39,Waste,Pending,23.257243627902202,77.4091932351213
40,Pothole,Completed,23.260293722471737,77.4124889046022
41,Drainage,Pending,23.26137693315999,77.41336813089788
42,Drainage,Completed,23.26024273656238,77.41253461050381
43,Waste,Completed,23.25966870343522,77.40846511579991
44,Pothole,Completed,23.25929779260882,77.41242175992097
45,Waste,Completed,23.256942956019262,77.40999106099899
46,Waste,Pending,23.25846031158321,77.41393934509766
47,Streetlight,Pending,23.258978722458078,77.41333319649219
48,Streetlight,Pending,23.262014244452438,77.41072024042734
49,Waste,Pending,23.260587236579134,77.41157226616532
50,Waste,Pending,23.256373919689274,77.41048157295621
51,Waste,Pending,23.260548167938786,77.41247464180545
52,Drainage,Pending,23.259129835439165,77.414510284641
53,Water Supply,Cancelled,23.258546155999387,77.41062854790732
54,Waste,Completed,23.26112335257768,77.41360809303103
55,Waste,Completed,23.26196199904499,77.41153948476325
56,Drainage,Completed,23.261762560238232,77.41101425433547
57,Water Supply,Pending,23.25822156495355,77.41238593928009
58,Pothole,Completed,23.259281575248295,77.41052951535517
59,Waste,Pending,23.260562526862806,77.4114927013893
60,Waste,Completed,23.261851090254243,77.41020424421482
61,Streetlight,Pending,23.258941651524307,77.41652945026583
62,Pothole,Cancelled,23.25952868204667,77.41267052710394
63,Waste,Pending,23.257687330051986,77.41120054898401
64,Streetlight,Pending,23.25750758675184,77.41302795982146
65,Waste,Cancelled,23.261525051644785,77.41237534390062
66,Drainage,Pending,23.26261248005714,77.41215806080093
67,Pothole,Completed,23.259755979756836,77.41382833340009
68,Waste,Completed,23.261907065795782,77.4141150154201
69,Streetlight,Completed,23.260623272050093,77.41153899770478
70,Pothole,Cancelled,23.25860976049079,77.4114483635187
71,Water Supply,Cancelled,23.260622791211016,77.4120498966057
72,Pothole,Pending,23.26297607313293,77.40799615767052
73,Waste,Completed,23.25982834792178,77.4095696178756
74,Streetlight,Completed,23.263029287311625,77.41533374853489
75,Waste,Completed,23.25466050979182,77.415889935427
76,Water Supply,Pending,23.26154380500875,77.41210192792089
77,Pothole,Completed,23.260074094136474,77.4137531139261
78,Pothole,Cancelled,23.259301985299068,77.41322250030909
79,Waste,Cancelled,23.26008352155307,77.4187577616169
80,Pothole,Completed,23.255924862170797,77.41483914982287
81,Drainage,Pending,23.259460656224324,77.41234416481704
82,Drainage,Pending,23.260614225143023,77.4106889191188
83,Waste,Completed,23.26285578808948,77.40938710735948
84,Waste,Completed,23.25886345956345,77.41300692727174
85,Drainage,Pending,23.258283012794212,77.41108729850943
86,Water Supply,Pending,23.258896485912828,77.4097554925808
87,Waste,Pending,23.261730804235402,77.41130685423151
88,Pothole,Completed,23.260557502219317,77.41043690399277
89,Pothole,Cancelled,23.258840479592465,77.41597428327015
90,Drainage,Completed,23.260926534866226,77.41436327951389
91,Waste,Pending,23.260094155098695,77.41258405471737
92,Waste,Pending,23.261837289981063,77.41555988827778
93,Drainage,Pending,23.258495893812242,77.4127547366153
94,Waste,Cancelled,23.259244675706803,77.41087743159734
95,Pothole,Pending,23.259115783693733,77.41564624815453
96,Pothole,Completed,23.256972970103735,77.41367782008737
97,Pothole,Pending,23.26049224055413,77.41052550769135
98,Pothole,Completed,23.260422110544358,77.41221932264384
99,Pothole,Completed,23.259910226913284,77.41084876349323
100,Waste,Completed,23.259430825733247,77.40983440053807
101,Streetlight,Pending,23.257069258515898,77.41445235509507
102,Drainage,Pending,23.259058709354466,77.41641883328094
103,Drainage,Pending,23.259214570966943,77.40980286485235
104,Waste,Completed,23.258295445461556,77.41372593847338
105,Waste,Pending,23.259577428576666,77.41129871486176
106,Waste,Pending,23.26070810171363,77.41162574923247
107,Pothole,Completed,23.263672371802418,77.41141521215152
108,Pothole,Completed,23.26024915562566,77.41087201846064
109,Streetlight,Completed,23.260415100781444,77.41269704325589
110,Waste,Pending,23.259751108168466,77.41093809976718
111,Waste,Pending,23.2560624575694,77.41314091365156
112,Pothole,Completed,23.2598469722491,77.4124995237811
113,Streetlight,Completed,23.26002046041988,77.41212210390627
114,Waste,Pending,23.26482648422497,77.41078487267592
115,Streetlight,Completed,23.259515278070435,77.41144645733885
116,Waste,Completed,23.260503094684665,77.41411078245164
117,Drainage,Completed,23.259830576460587,77.41360183437524
118,Drainage,Pending,23.25756264392476,77.4106448895104
119,Waste,Pending,23.262185645629028,77.41279866461086
120,Waste,Pending,23.261403866065372,77.41410277424674
121,Pothole,Pending,23.261482063894086,77.40926118943776
122,Waste,Cancelled,23.258081225090407,77.41368672038476
123,Streetlight,Completed,23.26270558862187,77.4112747524821
124,Drainage,Completed,23.257096297874412,77.41374119733719
125,Streetlight,Pending,23.2610737141876,77.41107348168691
126,Drainage,Completed,23.264280911251618,77.40899023579867
127,Pothole,Completed,23.25791892734974,77.40934491512424
128,Waste,Pending,23.258767404540794,77.41269616989332
129,Streetlight,Completed,23.260099302730172,77.41311944500345
130,Pothole,Pending,23.258893048691768,77.41079136674979
131,Streetlight,Completed,23.256798673137865,77.41387718491755
132,Waste,Pending,23.26003712594961,77.40927695987546
133,Waste,Pending,23.257775392572547,77.4124678404027
134,Water Supply,Pending,23.26084718486127,77.41017796760048
135,Waste,Pending,23.258061151531532,77.4112963277844
136,Water Supply,Pending,23.262999868810034,77.41269479734262
137,Water Supply,Completed,23.258333493415325,77.41087917326944
138,Drainage,Completed,23.259255876967586,77.41183088891154
139,Streetlight,Pending,23.26152703443474,77.41461258561843
140,Streetlight,Pending,23.257438271367132,77.41144621626096
141,Drainage,Pending,23.260354919869208,77.41427138422412
142,Waste,Completed,23.262514285508562,77.41034058629069
143,Pothole,Pending,23.256685033530875,77.41365960835583
144,Streetlight,Pending,23.260269267717064,77.41548313724131
145,Pothole,Completed,23.260419765588495,77.40765671099975
146,Pothole,Pending,23.261463645743554,77.41100620948906
147,Pothole,Pending,23.257426098578243,77.41375414425436
148,Streetlight,Completed,23.25725908677383,77.41219390922791
149,Drainage,Completed,23.260943883131233,77.41334229174674
150,Waste,Pending,23.260493969346463,77.41139202962657
151,Water Supply,Completed,23.26040098570069,77.41277317957494
152,Streetlight,Completed,23.26059289641899,77.41228864552922
153,Drainage,Pending,23.25853995055684,77.41493556412331
154,Streetlight,Pending,23.26036450739432,77.4131088416866
155,Drainage,Pending,23.260486144946597,77.41327520532415
156,Waste,Pending,23.258471297163947,77.41177624606776
157,Drainage,Completed,23.26363154902229,77.41162478755186
158,Waste,Completed,23.260847665841823,77.41173488362436
159,Drainage,Cancelled,23.257517393005593,77.41338890428476
160,Water Supply,Completed,23.261213107217266,77.41175803103836
161,Waste,Pending,23.257950636659544,77.41317954971379
162,Waste,Pending,23.26147416920748,77.41675080159729
163,Drainage,Completed,23.262217191158012,77.41434224940686
164,Waste,Pending,23.258258635363294,77.41194795293566
165,Drainage,Completed,23.261826752258486,77.41500242784433
166,Waste,Completed,23.26072556185387,77.41178384925395
167,Waste,Completed,23.261544120319986,77.40852375092965
168,Water Supply,Completed,23.263693585965306,77.41058382737816
169,Streetlight,Pending,23.259409223767992,77.40885841615794
170,Drainage,Completed,23.258392527671283,77.41189697303192
171,Pothole,Completed,23.258120971140748,77.41263683675838
172,Streetlight,Pending,23.258268379430067,77.41595287462455
173,Streetlight,Completed,23.25974579658117,77.41325385474752
174,Streetlight,Pending,23.260582303949633,77.41216179894238
175,Streetlight,Cancelled,23.26045338159866,77.41425881116237
176,Streetlight,Pending,23.26155436649807,77.40817772938198
177,Pothole,Completed,23.259926003783754,77.41307122911621
178,Waste,Pending,23.262807068154313,77.41414173038777
179,Drainage,Completed,23.259370686333522,77.40964282750843
180,Waste,Pending,23.26534033833318,77.41488750808641
181,Streetlight,Pending,23.26115133469553,77.41327699281499
182,Waste,Pending,23.258185684887167,77.41176942417219
183,Streetlight,Cancelled,23.257758215003875,77.41386556373222
184,Streetlight,Pending,23.260864944830484,77.41714138571561
185,Waste,Pending,23.259453074429345,77.41296373251012
186,Waste,Completed,23.261328000988183,77.4130964411726
187,Waste,Pending,23.260846475249146,77.41168127820092
188,Streetlight,Cancelled,23.259754342174684,77.41090031126107
189,Drainage,Pending,23.25820641256386,77.41426067163309
190,Waste,Completed,23.256870305550628,77.41088783234818
191,Streetlight,Pending,23.259006970095864,77.41274313247443
192,Pothole,Pending,23.261612797588644,77.41164468510647
193,Pothole,Completed,23.26032818748826,77.41355795965148
194,Water Supply,Completed,23.257408522442574,77.41326732421057
195,Pothole,Completed,23.2602463618517,77.41467507988851
196,Pothole,Pending,23.260670634759457,77.41157996720229
197,Waste,Pending,23.258132285127594,77.41206025012941
198,Waste,Pending,23.26020745021189,77.41064247256843
199,Waste,Cancelled,23.26001641743689,77.41171141347985
200,Waste,Pending,23.257614059404336,77.41335460098608
201,Streetlight,Pending,23.260615574720696,77.41411397723328
202,Pothole,Pending,23.261021569052733,77.41075566935164
203,Pothole,Completed,23.262066102486347,77.41433921184021
204,Waste,Pending,23.262007604104067,77.41531127571761
205,Waste,Cancelled,23.257144661264086,77.41342686980644
206,Streetlight,Pending,23.258024349920166,77.41635359162511
207,Water Supply,Completed,23.260930070534414,77.4110524216018
208,Waste,Pending,23.260927571901824,77.41011069059337
209,Drainage,Completed,23.26093009537261,77.40904255950218
210,Streetlight,Cancelled,23.267605462981308,77.41559208862297
211,Streetlight,Pending,23.261041781021383,77.4139087313127
212,Pothole,Cancelled,23.26217113128036,77.41248883065818
213,Waste,Pending,23.261808003526983,77.41315993725264
214,Waste,Cancelled,23.26120278250261,77.4103490219054
215,Streetlight,Completed,23.25926946151072,77.41749150395923
216,Pothole,Pending,23.261417938440985,77.41285844236396
217,Water Supply,Pending,23.258354349570922,77.41281878958921
218,Pothole,Pending,23.259426362786517,77.4140515332478
219,Waste,Pending,23.25892927290434,77.41356201846347
220,Streetlight,Pending,23.26006374827877,77.41304776804856
221,Waste,Pending,23.264529317133345,77.41101905108911
222,Pothole,Completed,23.256165469614814,77.41354293671426
223,Streetlight,Completed,23.261272520380746,77.41636404899295
224,Water Supply,Pending,23.25667456825762,77.41529084009231
225,Drainage,Pending,23.25895613626842,77.41578637325328
226,Streetlight,Completed,23.262077901193933,77.41157756864713
227,Streetlight,Pending,23.26002856003819,77.41062079035947
228,Water Supply,Pending,23.25774451044414,77.4123484261598
229,Waste,Pending,23.25846939258148,77.41271144982457
230,Waste,Cancelled,23.261259195497868,77.41478838303694
231,Waste,Completed,23.258439266736563,77.40921507074057
232,Waste,Pending,23.260332917179163,77.41565910063892
233,Streetlight,Completed,23.259991143679805,77.41228398420284
234,Streetlight,Completed,23.258596799304787,77.4117462378601
235,Streetlight,Completed,23.26418788817865,77.41057579124947
236,Waste,Completed,23.261167838044635,77.40929028665627
237,Streetlight,Completed,23.255849714826685,77.41424634116792
238,Pothole,Pending,23.26027290862954,77.41274663593437
239,Streetlight,Pending,23.258576427070462,77.41002007820052
240,Streetlight,Completed,23.26160486666959,77.41000984245586
241,Pothole,Completed,23.258314958523133,77.41192843060142
242,Waste,Pending,23.259670527117063,77.41593804305057
243,Waste,Completed,23.260909974557958,77.41208081729727
244,Drainage,Cancelled,23.261631510388337,77.40959371409376
245,Water Supply,Pending,23.257499407185886,77.41210851387183
246,Streetlight,Completed,23.259230997528316,77.4120545528605
247,Waste,Completed,23.258950109377675,77.40720622671411
248,Pothole,Cancelled,23.25859334153485,77.41249141026697
249,Streetlight,Cancelled,23.26343090848056,77.41213813093958
250,Drainage,Completed,23.26070996342192,77.41399241272963
251,Waste,Pending,23.257378232091327,77.41629791218989
252,Waste,Completed,23.26173572389411,77.41485313005909
253,Streetlight,Pending,23.264144312394023,77.41206222261889
254,Pothole,Completed,23.2619649305211,77.41038694818252
255,Waste,Cancelled,23.25686126006809,77.4177467196065
256,Waste,Pending,23.258931531854266,77.41271843686803
257,Pothole,Completed,23.262433822298373,77.41262785858382
258,Drainage,Pending,23.25848466106876,77.41255174982578
259,Water Supply,Completed,23.26078763885629,77.41299616952153
260,Streetlight,Pending,23.26144926810686,77.41231127917615
261,Pothole,Completed,23.25804613905684,77.41145267598624
262,Waste,Cancelled,23.259780949287876,77.41150628211751
263,Pothole,Cancelled,23.25341746531986,77.41253449345956
264,Pothole,Pending,23.257851224717328,77.41151315045774
265,Streetlight,Completed,23.259394863697214,77.41117430843464
266,Pothole,Completed,23.25740443363607,77.41281286045538
267,Waste,Pending,23.263164822607862,77.41209004556515
268,Waste,Pending,23.257039717244076,77.41560798597716
269,Pothole,Pending,23.259019911026606,77.40729806038321
270,Waste,Cancelled,23.26016148115457,77.41478301370384
271,Waste,Completed,23.26278254657813,77.415092170385
272,Water Supply,Completed,23.25702827569764,77.40845321953518
273,Pothole,Pending,23.262226327504308,77.41191462481184
274,Pothole,Completed,23.259920466122036,77.411857118268
275,Drainage,Pending,23.257936982697903,77.40978497661057
276,Water Supply,Pending,23.260824206948524,77.41104436662482
277,Streetlight,Completed,23.260298119391145,77.41037884830907
278,Drainage,Pending,23.25869956624568,77.41610454088685
279,Pothole,Completed,23.26003960416998,77.4144713567863
280,Pothole,Pending,23.259129372806274,77.41514311018999
281,Pothole,Completed,23.260127034690502,77.41404334412809
282,Streetlight,Completed,23.26122426134904,77.41034189645757
283,Streetlight,Completed,23.263072033632287,77.41155095946743
284,Pothole,Pending,23.257424369002344,77.41357874912245
285,Waste,Pending,23.26416606674931,77.41015574438221
286,Streetlight,Cancelled,23.25599582440095,77.41402599686035
287,Waste,Pending,23.25959642980993,77.41211934920368
288,Streetlight,Completed,23.261076634412966,77.4118503583849
289,Streetlight,Cancelled,23.260461983735468,77.4140219199364
290,Streetlight,Pending,23.25865460096036,77.41348852662297
291,Drainage,Pending,23.259483755499282,77.41187806766835
292,Drainage,Completed,23.25891399813068,77.41491865960673
293,Pothole,Cancelled,23.25872127048611,77.4104378733448
294,Streetlight,Cancelled,23.26159920419404,77.41383187121389
295,Streetlight,Completed,23.26061403097193,77.41378620251594
296,Waste,Completed,23.258514180809478,77.41198090712138
297,Waste,Pending,23.261699199750865,77.41325226604448
298,Waste,Cancelled,23.260514599041752,77.41009777284722
299,Pothole,Cancelled,23.261525724237675,77.41444805403842
300,Streetlight,Pending,23.261159257683847,77.4122301957271
301,Drainage,Pending,23.258242009978154,77.41155455395896
302,Waste,Pending,23.258779637919606,77.41469801845167
303,Waste,Pending,23.261394587210244,77.41119131261891
304,Water Supply,Completed,23.261120740530867,77.40978307740727
305,Waste,Pending,23.25985819681207,77.40948674165296
306,Pothole,Pending,23.260134654766617,77.4138120199027
307,Streetlight,Pending,23.262455329791575,77.410039141295
308,Pothole,Cancelled,23.258716857222325,77.41610958836397
309,Waste,Completed,23.26099419476234,77.40843614118423
310,Waste,Pending,23.25949561469513,77.41599291273658
311,Waste,Pending,23.259464637593545,77.4130220349344
312,Streetlight,Cancelled,23.262097553703974,77.41240657377625
313,Pothole,Completed,23.261550832697974,77.41151016182639
314,Waste,Pending,23.261527019272,77.4133982722287
315,Streetlight,Pending,23.262510957614307,77.41252473059515
316,Drainage,Pending,23.259942007683264,77.41480660376403
317,Waste,Pending,23.261263905942588,77.41282845529732
318,Pothole,Completed,23.259279466486813,77.41290060352293
319,Streetlight,Cancelled,23.260548332704975,77.41187277557557
320,Waste,Pending,23.259639713891264,77.41248610875256
321,Pothole,Completed,23.260093991929985,77.41321560353778
322,Streetlight,Completed,23.261090314050872,77.40917966321469
323,Drainage,Completed,23.25826355863353,77.40990362915579
324,Drainage,Completed,23.264084774551367,77.41408652818804
325,Streetlight,Pending,23.257887965237,77.41294173087626
326,Streetlight,Pending,23.25747162277442,77.41223203332729
327,Pothole,Completed,23.262216221747,77.41263686786613
328,Streetlight,Pending,23.261483325387925,77.41329516341072
329,Pothole,Pending,23.261148239634103,77.41152048063938
330,Waste,Pending,23.261156691018527,77.4110433905492
331,Streetlight,Cancelled,23.259875506454303,77.4129916905102
332,Streetlight,Completed,23.258105491257027,77.41064325444476
333,Pothole,Completed,23.260051609116385,77.41341650551142
334,Water Supply,Completed,23.258545676576976,77.40919483279153
335,Waste,Completed,23.261850239466835,77.41465831127465
336,Pothole,Completed,23.259605885236994,77.41354519496483
337,Waste,Completed,23.258249005606412,77.41311205946863
338,Drainage,Pending,23.25925722831669,77.41456538196789
339,Streetlight,Completed,23.26072586290855,77.41593094888893
340,Pothole,Completed,23.258772550894392,77.41462874013003
341,Streetlight,Completed,23.258255559208866,77.40891825153733
342,Pothole,Pending,23.260387374422983,77.41004084606652
343,Drainage,Pending,23.260389933142214,77.4113503628446
344,Pothole,Pending,23.258886113649258,77.41265218210042
345,Pothole,Completed,23.258957923388763,77.41363531804093
346,Water Supply,Pending,23.260364099874714,77.41114851237369
347,Waste,Pending,23.257003831317004,77.41297353352896
348,Waste,Completed,23.257085072451247,77.41108923413529
349,Streetlight,Pending,23.258463111557493,77.41137696439401
350,Water Supply,Completed,23.259473105696575,77.4097866778063
351,Pothole,Pending,23.260521815131195,77.41075353350777
352,Waste,Cancelled,23.2628507124339,77.40989663078877
353,Pothole,Completed,23.261615319246403,77.41064825349405
354,Pothole,Completed,23.259580122940072,77.41470728359322
355,Waste,Pending,23.259861967584193,77.41070120222233
356,Streetlight,Completed,23.257894941270724,77.41786476412967
357,Water Supply,Pending,23.259862973728012,77.41358663580176
358,Pothole,Pending,23.259322682722157,77.41296967224739
359,Pothole,Pending,23.260545437120676,77.41088328443963
360,Pothole,Completed,23.258245538112895,77.41400061975881
361,Waste,Pending,23.260938693028482,77.41144872434752
362,Drainage,Pending,23.262965477826004,77.41284401962929
363,Pothole,Pending,23.259682479703084,77.41772016907653
364,Pothole,Completed,23.260703423444195,77.41240788020055
365,Streetlight,Completed,23.26128028798342,77.41489854665257
366,Pothole,Completed,23.259097559056226,77.41119364714974
367,Streetlight,Completed,23.260348184963618,77.412530023019
368,Waste,Pending,23.259925184801563,77.41614160127126
369,Drainage,Completed,23.260095352197094,77.41134606588442
370,Water Supply,Completed,23.258353980432286,77.416224897116
371,Streetlight,Pending,23.259949020348515,77.41401550387091
372,Water Supply,Pending,23.26089599658249,77.4114750664482
373,Waste,Completed,23.26280228721559,77.4138648154781
374,Pothole,Completed,23.26181854165217,77.41454510889925
375,Streetlight,Completed,23.264206364915022,77.41384361992444
376,Streetlight,Pending,23.25836530487422,77.40945955056021
377,Pothole,Completed,23.26164464127344,77.41114572564835
378,Pothole,Completed,23.260266684011476,77.41210496272889
379,Waste,Pending,23.264279605866435,77.4124511331418
380,Pothole,Completed,23.25828340342929,77.4138413441951
381,Waste,Pending,23.258220556315635,77.41295540200187
382,Streetlight,Completed,23.25870121470911,77.40992931128258
383,Waste,Pending,23.25565220855138,77.41336039570201
384,Waste,Cancelled,23.258848489956637,77.41382117149057
385,Streetlight,Completed,23.25838173467689,77.41371958089586
386,Streetlight,Completed,23.260200787572952,77.4147615614511
387,Drainage,Pending,23.260583511951552,77.4142678443091
388,Streetlight,Cancelled,23.26365234167843,77.41351836015845
389,Pothole,Completed,23.26180084767637,77.41245966857709
390,Drainage,Pending,23.258746192688672,77.40927807813297
391,Pothole,Completed,23.2581031706573,77.41345923643826
392,Waste,Pending,23.260883838343013,77.41301537537433
393,Streetlight,Completed,23.257259533585955,77.41314315767438
394,Water Supply,Pending,23.263562917531708,77.41004650284836
395,Pothole,Completed,23.26225888024144,77.41043788691918
396,Waste,Pending,23.258961648695788,77.41470630570666
397,Waste,Cancelled,23.256473730941817,77.41252088969229
398,Waste,Pending,23.26260774474833,77.41396300139475
399,Pothole,Cancelled,23.259670920309492,77.41265663675226
400,Streetlight,Completed,23.262375632623947,77.41265951227899
401,Waste,Completed,23.27187656761195,77.4280172153011
402,Water Supply,Completed,23.268967910543566,77.4256932197728
403,Drainage,Pending,23.270192241553882,77.42872207650463
404,Streetlight,Pending,23.26907544942259,77.42735382041319
405,Drainage,Pending,23.269131007545134,77.43328403032028
406,Waste,Completed,23.26938165575306,77.43201963417869
407,Pothole,Completed,23.270444267543265,77.42862369930965
408,Streetlight,Completed,23.269042502756673,77.4345048716107
409,Drainage,Pending,23.272511512251146,77.43196353097399
410,Drainage,Pending,23.26821078539556,77.42935033723299
411,Waste,Pending,23.26962625671168,77.42500118857026
412,Water Supply,Cancelled,23.269120537883452,77.43458188514519
413,Waste,Completed,23.27289395576871,77.42722085506648
414,Drainage,Pending,23.270393109553023,77.42670920250609
415,Water Supply,Completed,23.272063689078937,77.43204514086402
416,Waste,Pending,23.267028879253925,77.43487950481268
417,Streetlight,Cancelled,23.270534100531737,77.43276854563703
418,Waste,Completed,23.271779261591245,77.43112781824011
419,Pothole,Pending,23.27016456797855,77.43118950868333
420,Pothole,Completed,23.27213096075013,77.43170683111757
421,Streetlight,Pending,23.2689654230998,77.43151785717959
422,Water Supply,Cancelled,23.27281869488037,77.43056238284795
423,Streetlight,Pending,23.27459779624724,77.43020840220791
424,Pothole,Completed,23.26927432287912,77.4298748137442
425,Drainage,Pending,23.269108994957197,77.42849207082227
426,Water Supply,Completed,23.272906768954236,77.42943864984628
427,Waste,Completed,23.273159144291462,77.42661408637161
428,Water Supply,Completed,23.268954279945692,77.42980332074642
