ID,Category,Status,Latitude,Longitude,category_encoded,status_encoded,density_score,category_frequency,is_pending,priority_label
1,Pothole,Completed,23.26089342830602,77.40941114468241,1,1,0.2141693226987905,422,0,0
2,Pothole,Pending,23.259623471397656,77.4114012499541,1,2,0.4154261343750585,422,1,2
3,Water Supply,Pending,23.2611953770762,77.41261048739943,4,2,0.22872710089050974,158,1,2
4,Waste,Pending,23.262946059712817,77.41269396118753,3,2,0.25583984906211826,478,1,1
5,Drainage,Pending,23.25943169325055,77.41169986905705,0,2,0.29758105164196674,223,1,2
6,Pothole,Pending,23.2594317260861,77.4138456998647,1,2,0.224904925960067,422,1,2
7,Pothole,Completed,23.263058425631012,77.41046475914123,1,1,0.11832326362100523,422,0,0
8,Pothole,Pending,23.261434869458306,77.41231524102996,1,2,0.47368435617161553,422,1,2
9,Streetlight,Pending,23.258961051228127,77.41284059126342,2,2,0.567880895068106,319,1,1
10,Pothole,Completed,23.26098512008717,77.41362887766812,1,1,0.2761030265660468,422,0,1
11,Waste,Pending,23.258973164614375,77.41402322975618,3,2,0.2351757764206611,478,1,2
12,Waste,Cancelled,23.25896854049286,77.41035071581632,3,0,0.22139561643231345,478,0,0
13,Waste,Completed,23.26038392454313,77.40953177165852,3,1,0.1488640796138908,478,0,0
14,Water Supply,Completed,23.256073439510683,77.4151553536438,4,1,0.09651889540241979,158,0,1
15,Water Supply,Pending,23.25645016433497,77.41326462802395,4,2,0.16201827104530123,158,1,2
16,Pothole,Completed,23.258775424941515,77.41110302692688,1,1,0.20559990492564156,422,0,1
17,Streetlight,Completed,23.25787433775933,77.41570230395104,2,1,0.11083225364333597,319,0,0
18,Pothole,Completed,23.260528494665188,77.41283134926859,1,1,0.34367725292753754,422,0,1
19,Streetlight,Pending,23.258083951848956,77.41495859436813,2,2,0.11312331516952705,319,1,1
20,Drainage,Completed,23.25707539259733,77.41273503696281,0,1,0.2129118102102544,223,0,0
21,Water Supply,Completed,23.26283129753784,77.41672149584976,4,1,0.05225652258709574,158,0,1
22,Pothole,Completed,23.259448447399024,77.41611068168488,1,1,0.21858466937121224,422,0,0
23,Drainage,Completed,23.260035056409375,77.41210207170305,0,1,0.5055704177050169,223,0,1
24,Waste,Pending,23.25705050362757,77.4145431419019,3,2,0.11936077322029152,478,1,1
25,Water Supply,Completed,23.258811234550947,77.41389075189917,4,1,0.32868639340378414,158,0,1
26,Waste,Pending,23.26012184517942,77.41533726311506,3,2,0.17560641752053485,478,1,1
27,Streetlight,Completed,23.25759801284515,77.41067015307884,2,1,0.17049447024145645,319,0,0
28,Streetlight,Pending,23.26065139603669,77.41397210292,2,2,0.5201385295033322,319,1,1
29,Streetlight,Completed,23.25869872262016,77.4147168489737,2,1,0.4209971970750367,319,0,0
30,Waste,Pending,23.259316612500413,77.40908252102714,3,2,0.14173889228323147,478,1,0
31,Water Supply,Completed,23.25869658677554,77.41023348297466,4,1,0.29044387063360094,158,0,1
32,Waste,Pending,23.263604556369017,77.40852153564448,3,2,0.07184032439863035,478,1,1
33,Streetlight,Completed,23.25987300555052,77.41206118633112,2,1,0.3900476226631537,319,0,0
34,Waste,Completed,23.25778457814209,77.4140350845116,3,1,0.19438565785958659,478,0,0
35,Pothole,Pending,23.261545089824203,77.41560471410419,1,2,0.12978897454348343,422,1,1
36,Pothole,Pending,23.257458312700056,77.41274818956084,1,2,0.258958598424978,422,1,2
37,Pothole,Pending,23.260317727190007,77.41585723109114,1,2,0.20425943812995365,422,1,1
38,Waste,Completed,23.25598065975224,77.40983979708356,3,1,0.059898824255232054,478,0,0
