ID,Category,Status,Latitude,Longitude,category_encoded,status_encoded,density_score,category_frequency,is_pending,priority_label,cluster_id
1,Pothole,Completed,23.26089342830602,77.40941114468241,1,1,0.2141693226987905,422,0,0,0
2,Pothole,Pending,23.259623471397656,77.4114012499541,1,2,0.4154261343750585,422,1,2,0
3,Water Supply,Pending,23.2611953770762,77.41261048739943,4,2,0.2287271008905097,158,1,2,0
4,Waste,Pending,23.262946059712817,77.41269396118753,3,2,0.2558398490621182,478,1,1,0
5,Drainage,Pending,23.25943169325055,77.41169986905705,0,2,0.2975810516419667,223,1,2,0
6,Pothole,Pending,23.2594317260861,77.4138456998647,1,2,0.224904925960067,422,1,2,0
7,Pothole,Completed,23.263058425631012,77.41046475914123,1,1,0.1183232636210052,422,0,0,0
8,Pothole,Pending,23.261434869458306,77.41231524102996,1,2,0.4736843561716155,422,1,2,0
9,Streetlight,Pending,23.258961051228127,77.41284059126342,2,2,0.567880895068106,319,1,1,0
10,Pothole,Completed,23.26098512008717,77.41362887766812,1,1,0.2761030265660468,422,0,1,0
11,Waste,Pending,23.258973164614375,77.41402322975618,3,2,0.2351757764206611,478,1,2,0
12,Waste,Cancelled,23.25896854049286,77.41035071581632,3,0,0.2213956164323134,478,0,0,0
13,Waste,Completed,23.26038392454313,77.40953177165852,3,1,0.1488640796138908,478,0,0,0
14,Water Supply,Completed,23.256073439510683,77.4151553536438,4,1,0.0965188954024197,158,0,1,0
15,Water Supply,Pending,23.25645016433497,77.41326462802395,4,2,0.1620182710453012,158,1,2,0
16,Pothole,Completed,23.258775424941515,77.41110302692688,1,1,0.2055999049256415,422,0,1,0
17,Streetlight,Completed,23.25787433775933,77.41570230395104,2,1,0.1108322536433359,319,0,0,0
18,Pothole,Completed,23.260528494665188,77.41283134926859,1,1,0.3436772529275375,422,0,1,0
19,Streetlight,Pending,23.258083951848956,77.41495859436813,2,2,0.113123315169527,319,1,1,0
20,Drainage,Completed,23.25707539259733,77.41273503696281,0,1,0.2129118102102544,223,0,0,0
21,Water Supply,Completed,23.26283129753784,77.41672149584976,4,1,0.0522565225870957,158,0,1,0
22,Pothole,Completed,23.259448447399024,77.41611068168488,1,1,0.2185846693712122,422,0,0,0
23,Drainage,Completed,23.260035056409375,77.41210207170305,0,1,0.5055704177050169,223,0,1,0
24,Waste,Pending,23.25705050362757,77.4145431419019,3,2,0.1193607732202915,478,1,1,0
25,Water Supply,Completed,23.258811234550947,77.41389075189917,4,1,0.3286863934037841,158,0,1,0
26,Waste,Pending,23.26012184517942,77.41533726311506,3,2,0.1756064175205348,478,1,1,0
27,Streetlight,Completed,23.25759801284515,77.41067015307884,2,1,0.1704944702414564,319,0,0,0
28,Streetlight,Pending,23.26065139603669,77.41397210292,2,2,0.5201385295033322,319,1,1,0
29,Streetlight,Completed,23.25869872262016,77.4147168489737,2,1,0.4209971970750367,319,0,0,0
30,Waste,Pending,23.259316612500413,77.40908252102714,3,2,0.1417388922832314,478,1,0,0
31,Water Supply,Completed,23.25869658677554,77.41023348297466,4,1,0.2904438706336009,158,0,1,0
32,Waste,Pending,23.263604556369017,77.40852153564448,3,2,0.0718403243986303,478,1,1,0
33,Streetlight,Completed,23.25987300555052,77.41206118633112,2,1,0.3900476226631537,319,0,0,0
34,Waste,Completed,23.25778457814209,77.4140350845116,3,1,0.1943856578595865,478,0,0,0
